"","dt","LB2N","LB3N","SBN","LB2mean","LB2max","LB2min","LB3mean","LB3max","LB3min","SBmean","SBmax","SBmin","Date","Water.level..m.","Lanesborough","Shannonbridge"
"1",2017-08-23,144,144,144,3.35246875,4.1485,2.7135,0,0,0,6.24743518518519,7.359,5.48333333333333,"08/23/17",32.9,32.9,32.9
"2",2017-08-24,144,144,144,3.27777083333333,3.6635,2.854,0,0,0,7.48733796296296,7.80733333333334,6.91033333333333,"08/24/17",33,33,33
"3",2017-08-25,144,144,144,3.30159027777778,3.7115,2.5685,0.00895138888888868,0.0954999999999977,0,7.6778125,7.93,7.418,"08/25/17",33,33,33
"4",2017-08-26,144,144,144,2.58368402777778,3.33,1.8075,0,0,0,7.58253240740741,7.87866666666667,7.38766666666667,"08/26/17",33.1,33.1,33.1
"5",2017-08-27,144,144,144,2.45419444444445,3.044,1.95,0,0,0,7.5195462962963,7.776,7.272,"08/27/17",33.2,33.2,33.2
"6",2017-08-28,144,144,144,2.30940277777778,2.902,1.4745,0,0,0,6.58523148148148,7.63133333333333,4.66933333333333,"08/28/17",33.3,33.3,33.3
"7",2017-08-29,97,97,97,2.12101030927835,2.5215,1.5695,0,0,0,NA,NA,NA,"08/29/17",33.3,33.3,33.3
"8",2017-08-30,144,144,144,1.90295138888889,2.474,1.427,0,0,0,7.24100231481482,7.51733333333334,6.96866666666667,"08/30/17",33.4,33.4,33.4
"9",2017-08-31,144,144,144,2.02317013888889,2.807,1.2845,0,0,0,7.26938194444445,7.70766666666667,6.966,"08/31/17",33.4,33.4,33.4
"10",2017-09-01,144,144,144,2.04096875,2.664,1.189,0,0,0,7.23842824074074,7.552,6.86966666666667,"09/01/17",33.4,33.4,33.4
"11",2017-09-02,144,144,144,2.41865972222222,3.0445,1.76,0.0548506944444442,0.475499999999997,0,7.26554861111111,7.51566666666667,6.261,"09/02/17",33.4,33.4,33.4
"12",2017-09-03,144,144,144,1.91848958333333,2.5695,1.094,0.0212361111111107,0.238,0,6.754875,7.653,4.793,"09/03/17",33.4,33.4,33.4
"13",2017-09-04,144,144,144,1.77072222222222,2.3305,0.999000000000002,0,0,0,6.73139814814815,7.61733333333333,4.38,"09/04/17",33.5,33.5,33.5
