date_time,hour,minute,mm,dd,mmdd,LB_T1,LB_T3,LB_T6HOT,LB_T6C,LB_diff,SB_S1,SB_S2,SB_S3,SB_S4,SB_diff
05/26/17 00:00,0.00,0.00,5,26,5_26,21.569,26,26.195,18.616,7.579,,,,,
05/26/17 00:10,0.00,10.00,5,26,5_26,21.569,26,26.195,18.711,7.484,,,,,
05/26/17 00:20,0.00,20.00,5,26,5_26,21.473,26,26.292,19.092,7.2,,,,,
05/26/17 00:30,0.00,30.00,5,26,5_26,21.378,26,26.195,19.662,6.533,,,,,
05/26/17 00:40,0.00,40.00,5,26,5_26,21.378,25.902,26.195,18.901,7.294,,,,,
05/26/17 00:50,0.00,50.00,5,26,5_26,21.378,26,26.292,18.806,7.486,,,,,
05/26/17 01:00,1.00,0.00,5,26,5_26,21.378,25.902,26.39,19.187,7.203,,,,,
05/26/17 01:10,1.00,10.00,5,26,5_26,21.378,25.902,26.39,19.187,7.203,,,,,
05/26/17 01:20,1.00,20.00,5,26,5_26,21.282,25.902,26.39,18.901,7.489,,,,,
05/26/17 01:30,1.00,30.00,5,26,5_26,21.187,25.902,26.39,18.711,7.679,,,,,
05/26/17 01:40,1.00,40.00,5,26,5_26,21.187,26,26.39,18.711,7.679,,,,,
05/26/17 01:50,1.00,50.00,5,26,5_26,21.091,26,26.39,18.711,7.679,,,,,
05/26/17 02:00,2.00,0.00,5,26,5_26,21.091,26,26.39,18.901,7.489,,,,,
05/26/17 02:10,2.00,10.00,5,26,5_26,20.996,26,26.39,18.806,7.584,,,,,
05/26/17 02:20,2.00,20.00,5,26,5_26,20.901,26,26.292,18.996,7.296,,,,,
05/26/17 02:30,2.00,30.00,5,26,5_26,20.805,26,26.292,19.187,7.105,,,,,
05/26/17 02:40,2.00,40.00,5,26,5_26,20.805,26,26.292,19.662,6.63,,,,,
05/26/17 02:50,2.00,50.00,5,26,5_26,20.805,26,26,19.282,6.718,,,,,
05/26/17 03:00,3.00,0.00,5,26,5_26,20.805,26,25.902,19.472,6.43,,,,,
05/26/17 03:10,3.00,10.00,5,26,5_26,20.805,26,25.805,19.567,6.238,,,,,
05/26/17 03:20,3.00,20.00,5,26,5_26,20.805,26,25.513,19.662,5.851,,,,,
05/26/17 03:30,3.00,30.00,5,26,5_26,20.71,26,25.319,20.424,4.895,,,,,
05/26/17 03:40,3.00,40.00,5,26,5_26,20.71,25.902,25.222,20.519,4.703,,,,,
05/26/17 03:50,3.00,50.00,5,26,5_26,20.615,25.805,25.125,19.948,5.177,,,,,
05/26/17 04:00,4.00,0.00,5,26,5_26,20.615,25.708,25.125,19.092,6.033,,,,,
05/26/17 04:10,4.00,10.00,5,26,5_26,20.519,25.61,25.125,18.616,6.509,,,,,
05/26/17 04:20,4.00,20.00,5,26,5_26,20.519,25.416,25.125,18.426,6.699,,,,,
05/26/17 04:30,4.00,30.00,5,26,5_26,20.519,25.222,25.125,18.426,6.699,,,,,
05/26/17 04:40,4.00,40.00,5,26,5_26,20.424,25.125,25.125,18.426,6.699,,,,,
05/26/17 04:50,4.00,50.00,5,26,5_26,20.519,24.931,25.125,18.331,6.794,,,,,
05/26/17 05:00,5.00,0.00,5,26,5_26,20.519,24.931,25.028,18.331,6.697,,,,,
05/26/17 05:10,5.00,10.00,5,26,5_26,20.519,24.931,25.028,18.331,6.697,,,,,
05/26/17 05:20,5.00,20.00,5,26,5_26,20.519,24.835,25.028,18.426,6.602,,,,,
05/26/17 05:30,5.00,30.00,5,26,5_26,20.424,24.835,25.028,18.521,6.507,,,,,
